ID: 1, Type: [생활용 봉투], Spec: [5L], Code: [0301]
ID: 2, Type: [생활용 봉투], Spec: [10L], Code: [0302]
ID: 3, Type: [생활용 봉투], Spec: [20L], Code: [0303]
ID: 4, Type: [생활용 봉투], Spec: [30L], Code: [0304]
ID: 5, Type: [생활용 봉투], Spec: [50L], Code: [0305]
ID: 6, Type: [음식물용 봉투], Spec: [1L], Code: [0309]
ID: 7, Type: [음식물용 봉투], Spec: [2L], Code: [0310]
ID: 8, Type: [음식물용 봉투], Spec: [3L], Code: [0311]
ID: 9, Type: [음식물용 봉투], Spec: [5L], Code: [0312]
ID: 10, Type: [업소용 필증], Spec: [20L], Code: [0316]
ID: 11, Type: [업소용 필증], Spec: [60L], Code: [0317]
ID: 12, Type: [재사용봉투], Spec: [10L], Code: []
ID: 13, Type: [재사용봉투], Spec: [20L], Code: []
